Abiotic,Region,Region_Name,COUNT,AREA_M2,AREA_Acres,AREA_HA,MIN,MAX,RANGE,MEAN,STD,Shape_Area M2
% Clay in Soil,Ecoregions Level 3,Northeastern Coastal Zone,46204395,41583955500,10275603.3238275,4158395.55,0,70.737701,70.737701,7.448743,8.623953,42067270135.634400
% Clay in Soil,Ecoregions Level 3,Northern Allegheny Plateau,51353517,46218165300,11420739.7364565,4621816.53,0,55.610527,55.610527,16.691264,5.744449,46510281698.888000
% Clay in Soil,Ecoregions Level 3,Northern Appalachian and Atlantic Maritime Highlands,135297499,121767749100,30089419.6413555,12176774.91,0,75,75,8.326064,5.360127,124197483306.276000
% Clay in Soil,Ecoregions Level 3,Northern Lakes and Forests,208511503,187660352700,46371811.4539335,18766035.27,0,69.934212,69.934212,10.216055,10.608721,191883316525.475000
% Clay in Soil,Ecoregions Level 3,Northern Minnesota Wetlands,22718812,20446930800,5052538.8353340,2044693.08,1.908699,70.190788,68.282089,19.145188,14.752335,22829037600.637000
% Clay in Soil,Ecoregions Level 3,Southern Michigan/Northern Indiana Drift Plains,58819804,52937823600,13081200.9006780,5293782.36,0,67.596062,67.596062,14.703606,8.647819,53035141066.624500
% Clay in Soil,Forest Service Admin Areas,Allegheny National Forest,3299865,2969878500,733871.8267425,296987.85,5.704401,36.872532,31.168131,20.531419,6.142057,2998212079.749840
% Clay in Soil,Forest Service Admin Areas,Chequamegon-Nicolet National Forest,8964502,8068051800,1993655.9400390,806805.18,0,57.707104,57.707104,6.173035,2.9221,8115684316.383020
% Clay in Soil,Forest Service Admin Areas,Chippewa National Forest,6275439,5647895100,1395623.1186855,564789.51,2.155354,54.856907,52.701553,15.929752,12.568938,6477469656.434470
% Clay in Soil,Forest Service Admin Areas,Daniel Boone National Forest,9019811,8117829900,2005956.3574395,811782.99,2.894089,53.515152,50.621063,23.807051,7.074441,8268286834.790360
% Clay in Soil,Forest Service Admin Areas,George Washington and Jefferson National Forest,15724830,14152347000,3497115.7054350,1415234.70,0,68.789063,68.789063,20.74219,8.663382,14152380131.178300
% Clay in Soil,Forest Service Admin Areas,Green Mountain and Finger Lakes National Forests,3839485,3455536500,853880.3468325,345553.65,0.5,73.401756,72.901756,7.308419,3.847646,3455616314.805460
% Clay in Soil,Forest Service Admin Areas,Hiawatha National Forest,5813842,5232457800,1292966.4846690,523245.78,0,65.864433,65.864433,6.040974,9.874436,5257791263.285730
% Clay in Soil,Forest Service Admin Areas,Hoosier National Forest,2867887,2581098300,637802.2954215,258109.83,4.319064,54.980297,50.661233,23.918014,9.048924,2617898935.632780
% Clay in Soil,Forest Service Admin Areas,Huron-Manistee National Forest,9107239,8196515100,2025399.8637855,819651.51,0,49.017857,49.017857,7.767982,7.257768,8207866260.109320
% Clay in Soil,Forest Service Admin Areas,Land Between the Lakes National Recreation Area,480203,432182700,106794.5060835,43218.27,12.453869,45.813953,33.360085,31.134852,7.695833,693184850.032161
% Clay in Soil,Forest Service Admin Areas,Midewin National Tallgrass Prairie,123951,111555900,27566.0206695,11155.59,4.009156,47.051357,43.042201,29.997289,6.093132,111555877.560034
% Clay in Soil,Forest Service Admin Areas,Monongahela National Forest,7660639,6894575100,1703683.9800855,689457.51,0,49.179588,49.179588,20.97469,6.889383,6894554207.279570
% Clay in Soil,Forest Service Admin Areas,Ottawa National Forest,6956189,6260570100,1547018.1745605,626057.01,0,64.137932,64.137932,9.670264,13.586994,6324406706.442230
% Clay in Soil,Forest Service Admin Areas,Shawnee National Forest,4150633,3735569700,923077.9507185,373556.97,3,66.982758,63.982758,24.970531,8.585816,3763693518.254750
% Clay in Soil,Forest Service Admin Areas,Superior National Forest,16817914,15136122600,3740211.5750730,1513612.26,1.856158,68.22477,66.368612,11.352841,8.383289,15733793671.581300
% Clay in Soil,Forest Service Admin Areas,Wayne National Forest,3849210,3464289000,856043.1333450,346428.90,4.947369,52.026741,47.079372,28.605265,6.970528,3464759940.155300
% Clay in Soil,Forest Service Admin Areas,White Mountain National Forest,4238765,3814888500,942678.0227925,381488.85,0.5,20,19.5,5.327226,1.703879,3814865892.637300
% Clay in Soil,Forest Service Wilderness Areas,Allegheny Islands Wilderness,1678,1510200,373.1779710,151.02,10.121589,23.30784,13.186252,13.430545,4.203235,1504465.412977
% Clay in Soil,Forest Service Wilderness Areas,Bald Knob Wilderness,26220,23598000,5831.1837900,2359.80,12.492611,40.533661,28.04105,25.545369,5.233233,23592594.596893
% Clay in Soil,Forest Service Wilderness Areas,Barbours Creek Wilderness,24782,22303800,5511.3804990,2230.38,7.515152,30.948387,23.433236,16.812014,6.016667,22297938.505662
% Clay in Soil,Forest Service Wilderness Areas,Bay Creek Wilderness,12421,11178900,2762.3620845,1117.89,12.487685,26.6,14.112315,24.713299,2.773632,11170089.578802
% Clay in Soil,Forest Service Wilderness Areas,Beartown Wilderness,25246,22721400,5614.5715470,2272.14,2.647059,29.22278,26.575722,20.509745,4.522752,22713553.219524
% Clay in Soil,Forest Service Wilderness Areas,Beaver Creek Wilderness,21819,19637100,4852.4255955,1963.71,14.301767,34.21801,19.916243,15.212475,3.544249,19644522.266469
% Clay in Soil,Forest Service Wilderness Areas,Big Branch Wilderness,30254,27228600,6728.3232030,2722.86,4.562434,12.71625,8.153816,6.70973,0.574253,27215287.546814
% Clay in Soil,Forest Service Wilderness Areas,Big Draft Wilderness,23134,20820600,5144.8743630,2082.06,5.454545,30.987654,25.533108,17.501156,4.210416,20829020.825377
% Clay in Soil,Forest Service Wilderness Areas,Big Island Lake Wilderness,25763,23186700,5729.5495035,2318.67,0.450479,7.24817,6.797691,1.892338,1.645065,23181142.160588
% Clay in Soil,Forest Service Wilderness Areas,Blackjack Springs Wilderness,26595,23935500,5914.5817275,2393.55,0.411184,10.976974,10.565789,3.916912,2.327532,23926981.998344
% Clay in Soil,Forest Service Wilderness Areas,Boundary Waters Canoe Area Wilderness,4596889,4137200100,1022322.8307105,413720.01,4.110591,28.238424,24.127833,9.71293,1.146054,4446640502.385940
% Clay in Soil,Forest Service Wilderness Areas,Breadloaf Wilderness,112338,101104200,24983.3533410,10110.42,2.10487,13.553344,11.448473,5.593039,1.92136,101111910.561700
% Clay in Soil,Forest Service Wilderness Areas,Bristol Cliffs Wilderness,16873,15185700,3752.4623985,1518.57,2.286115,39.28344,36.997324,6.273988,2.132571,15176924.560965
% Clay in Soil,Forest Service Wilderness Areas,Brush Mountain East Wilderness,16842,15157800,3745.5681690,1515.78,8.95,30.948387,21.998387,18.032181,1.963165,15156386.407373
% Clay in Soil,Forest Service Wilderness Areas,Brush Mountain Wilderness,21555,19399500,4793.7134475,1939.95,9.705739,24.194374,14.488635,16.237078,0.916783,19404389.446175
% Clay in Soil,Forest Service Wilderness Areas,Burden Falls Wilderness,16806,15125400,3737.5619670,1512.54,12.487685,26.6,14.112315,23.020476,3.389563,15134251.243920
% Clay in Soil,Forest Service Wilderness Areas,Caribou-Speckled Mountain Wilderness,50522,45469800,11235.8149290,4546.98,3.819234,6.836663,3.017429,5.231473,0.805692,45467081.802363
% Clay in Soil,Forest Service Wilderness Areas,Charles C. Deam Wilderness,56305,50674500,12521.9223225,5067.45,13.994916,47.607143,33.612227,21.408277,9.078728,50737520.221437
% Clay in Soil,Forest Service Wilderness Areas,Clear Springs Wilderness,21308,19177200,4738.7820060,1917.72,12.492611,40.533661,28.04105,27.919821,7.749313,19179631.258969
% Clay in Soil,Forest Service Wilderness Areas,Clifty Wilderness,56435,50791500,12550.8336075,5079.15,10.55092,44.238373,33.687452,21.475227,10.066831,50790844.685120
% Clay in Soil,Forest Service Wilderness Areas,Cranberry Wilderness,214690,193221000,47745.8752050,19322.10,9.012121,33.76543,24.753309,17.577707,4.968686,193204860.120276
% Clay in Soil,Forest Service Wilderness Areas,Delirium Wilderness,53733,48359700,11949.9236685,4835.97,0.357596,64.441132,64.083536,13.220962,18.235533,48368648.243970
% Clay in Soil,Forest Service Wilderness Areas,Dolly Sods Wilderness,79941,71946900,17778.4387245,7194.69,7.181818,40.135513,32.953695,19.764406,7.285296,71939581.033790
% Clay in Soil,Forest Service Wilderness Areas,Garden Mountain Wilderness,14980,13482000,3331.4696100,1348.20,8.809544,30.948387,22.138844,21.348177,3.88286,13478363.484108
% Clay in Soil,Forest Service Wilderness Areas,Garden of the Gods Wilderness,17895,16105500,3979.7495775,1610.55,12.487685,27.039286,14.5516,21.837578,2.833548,16097992.314646
% Clay in Soil,Forest Service Wilderness Areas,George D. Aiken Wilderness,21580,19422000,4799.2733100,1942.20,5.934886,6.869543,0.934656,6.514994,0.092038,19426544.842033
% Clay in Soil,Forest Service Wilderness Areas,Glastenbury Wilderness,100384,90345600,22324.8494880,9034.56,2.366595,12.807363,10.440767,6.448176,0.433222,90366341.070641
% Clay in Soil,Forest Service Wilderness Areas,Great Gulf Wilderness,25444,22899600,5658.6056580,2289.96,3.881546,8.295077,4.413532,7.620457,1.468213,22897419.548727
% Clay in Soil,Forest Service Wilderness Areas,Headwaters Wilderness,99376,89438400,22100.6758320,8943.84,1.795417,11.726974,9.931557,6.585103,2.38775,89436658.829258
% Clay in Soil,Forest Service Wilderness Areas,Hickory Creek Wilderness,38824,34941600,8634.2440680,3494.16,9.974124,31.656818,21.682694,17.91148,6.323907,34936116.791550
% Clay in Soil,Forest Service Wilderness Areas,Horseshoe Bay Wilderness,17461,15714900,3883.2303645,1571.49,0.597759,28.585739,27.987981,7.956887,5.854948,15789811.313093
% Clay in Soil,Forest Service Wilderness Areas,Hunting Camp Creek Wilderness,38085,34276500,8469.8945325,3427.65,8.809544,62.540985,53.731441,21.525383,4.597924,34279848.971497
% Clay in Soil,Forest Service Wilderness Areas,James River Face Wilderness,40050,36045000,8906.8997250,3604.50,8.821428,43.766666,34.945238,13.8365,5.850938,36044435.290978
% Clay in Soil,Forest Service Wilderness Areas,Joseph Battell Wilderness,55472,49924800,12336.6677040,4992.48,2.10487,8.064706,5.959836,6.023584,1.380269,49923838.816750
% Clay in Soil,Forest Service Wilderness Areas,Kimberling Creek Wilderness,26652,23986800,5927.2582140,2398.68,8.809544,26.481928,17.672384,14.737433,4.889518,23989645.749636
% Clay in Soil,Forest Service Wilderness Areas,Laurel Fork North Wilderness,27205,24484500,6050.2423725,2448.45,7.1,28.140186,21.040186,22.360799,2.979051,24475882.546086
% Clay in Soil,Forest Service Wilderness Areas,Laurel Fork South Wilderness,26248,23623200,5837.4108360,2362.32,12.464286,27.581478,15.117192,21.82326,3.254959,23632291.686621
% Clay in Soil,Forest Service Wilderness Areas,Lewis Fork Wilderness,27321,24588900,6076.0401345,2458.89,8.421053,29.001497,20.580444,12.922357,3.757063,24586190.516298
% Clay in Soil,Forest Service Wilderness Areas,Little Dry Run Wilderness,12849,11564100,2857.5469305,1156.41,8.95,50.131149,41.181149,19.383777,5.996578,11559294.033495
% Clay in Soil,Forest Service Wilderness Areas,Little Wilson Creek Wilderness,24553,22097700,5460.4521585,2209.77,8.421053,28.08073,19.659678,15.431779,3.679718,22101228.581508
% Clay in Soil,Forest Service Wilderness Areas,Lusk Creek Wilderness,29843,26858700,6636.9190635,2685.87,12.487685,41.588234,29.100549,23.772077,3.737194,26838325.364239
% Clay in Soil,Forest Service Wilderness Areas,Lye Brook Wilderness,81476,73328400,18119.8142820,7332.84,2.366595,7.240197,4.873602,6.368665,0.562951,73336837.294428
% Clay in Soil,Forest Service Wilderness Areas,Mackinac Wilderness,51402,46261800,11431.5220890,4626.18,0.463547,53.275864,52.812317,12.055374,11.757756,46256561.106846
% Clay in Soil,Forest Service Wilderness Areas,McCormick Wilderness,77398,69658200,17212.8895110,6965.82,0.151091,11.208333,11.057242,3.465822,2.403199,69671648.433768
% Clay in Soil,Forest Service Wilderness Areas,Mountain Lake Wilderness,74320,66888000,16528.3592400,6688.80,2.647059,43.766666,41.119608,17.153408,5.854186,66872713.209213
% Clay in Soil,Forest Service Wilderness Areas,Nordhouse Dunes Wilderness,14649,13184100,3257.8570305,1318.41,2.5,24.789474,22.289474,4.125204,1.921602,13238039.846655
% Clay in Soil,Forest Service Wilderness Areas,Otter Creek Wilderness,93100,83790000,20704.9279500,8379.00,8.375,38.166668,29.791668,20.140699,8.200112,83792094.357996
% Clay in Soil,Forest Service Wilderness Areas,Panther Den Wilderness,4447,4002300,988.9883415,400.23,12.492611,30.851086,18.358475,25.0108,4.918227,3998641.286128
% Clay in Soil,Forest Service Wilderness Areas,Pemigewasset Wilderness,205965,185368500,45805.4831925,18536.85,3.079271,8.003217,4.923946,4.683888,1.644233,185382333.352366
% Clay in Soil,Forest Service Wilderness Areas,Peru Peak Wilderness,35189,31670100,7825.8400605,3167.01,2.366595,10.05303,7.686435,6.366985,0.681398,31664130.688052
% Clay in Soil,Forest Service Wilderness Areas,Peters Mountain Wilderness,20336,18302400,4522.6145520,1830.24,2.647059,31.02809,28.381031,19.170919,5.821039,18296887.879617
% Clay in Soil,Forest Service Wilderness Areas,Porcupine Lake Wilderness,19370,17433000,4307.7814650,1743.30,1.430534,11.704264,10.27373,5.652108,2.300613,17434749.108024
% Clay in Soil,Forest Service Wilderness Areas,Presidential Range-Dry River Wilderness,124115,111703500,27602.4933675,11170.35,1.832588,8.295077,6.462489,6.539806,1.803672,111711742.054301
% Clay in Soil,Forest Service Wilderness Areas,Priest Wilderness,26960,24264000,5995.7557200,2426.40,11.382813,24.4,13.017187,13.229711,4.024077,24257114.863938
% Clay in Soil,Forest Service Wilderness Areas,Raccoon Branch Wilderness,19000,17100000,4225.4955000,1710.00,8.95,48.227848,39.277848,20.988562,3.010093,17099857.313983
% Clay in Soil,Forest Service Wilderness Areas,Rainbow Lake Wilderness,32257,29031300,7173.7793865,2903.13,1.430534,13.604651,12.174117,6.331046,4.028896,29043951.115976
% Clay in Soil,Forest Service Wilderness Areas,Ramseys Draft Wilderness,29569,26612100,6575.9829705,2661.21,10.982659,23.47168,12.48902,11.311231,1.243272,26614362.158183
% Clay in Soil,Forest Service Wilderness Areas,Rich Hole Wilderness,29369,26432100,6531.5040705,2643.21,12.643438,35.678787,23.035349,17.034283,3.952483,26433207.047714
% Clay in Soil,Forest Service Wilderness Areas,Roaring Plains West Wilderness,30542,27487800,6792.3728190,2748.78,0,27.581478,27.581478,18.685432,6.684277,27494485.828466
% Clay in Soil,Forest Service Wilderness Areas,Rock River Canyon Wilderness,23664,21297600,5262.7434480,2129.76,0.507462,24.350239,23.842777,6.037419,3.596237,21288240.970846
% Clay in Soil,Forest Service Wilderness Areas,Rough Mountain Wilderness,41943,37748700,9327.8925135,3774.87,15.427631,34.887051,19.459419,18.951004,0.621001,37743888.077174
% Clay in Soil,Forest Service Wilderness Areas,Round Island Wilderness,1654,1488600,367.8405030,148.86,0.970308,11.77399,10.803682,4.625561,4.722981,1516946.622236
% Clay in Soil,Forest Service Wilderness Areas,Saint Mary's Wilderness,44184,39765600,9826.2785880,3976.56,7.223684,29.357924,22.134239,11.314042,5.539113,39767109.579329
% Clay in Soil,Forest Service Wilderness Areas,Sandwich Range Wilderness,158754,142878600,35306.0164530,14287.86,3.524709,7.208144,3.683435,5.422867,1.275608,142861033.854105
% Clay in Soil,Forest Service Wilderness Areas,Shawvers Run Wilderness,26007,23406300,5783.8137615,2340.63,8.95,62.540985,53.590985,15.195011,5.725432,23405907.433414
% Clay in Soil,Forest Service Wilderness Areas,Spice Run Wilderness,27143,24428700,6036.4539135,2442.87,10,33.272728,23.272728,17.854701,3.572368,24431262.091325
% Clay in Soil,Forest Service Wilderness Areas,Stone Mountain Wilderness,14713,13241700,3272.0902785,1324.17,10.913043,29.490446,18.577403,22.603354,4.326457,13245647.391149
% Clay in Soil,Forest Service Wilderness Areas,Sturgeon River Gorge Wilderness,75403,67862700,16769.2124835,6786.27,0.247291,31.630386,31.383096,3.984768,4.933214,67866940.146917
% Clay in Soil,Forest Service Wilderness Areas,Sylvania Wilderness,82983,74684700,18454.9627935,7468.47,0,11.704264,11.704264,5.165809,3.463918,74684759.065081
% Clay in Soil,Forest Service Wilderness Areas,Three Ridges Wilderness,20740,18666000,4612.4619300,1866.60,11.382813,35.541401,24.158588,13.15393,3.929728,18666108.433027
% Clay in Soil,Forest Service Wilderness Areas,Thunder Ridge Wilderness,10924,9831600,2429.4375180,983.16,8.821428,28.387085,19.565657,12.627859,4.53538,9823140.232682
% Clay in Soil,Forest Service Wilderness Areas,Whisker Lake Wilderness,33022,29719800,7343.9111790,2971.98,2.490461,11.190789,8.700329,6.486223,1.971035,29722828.749481
% Clay in Soil,Forest Service Wilderness Areas,Wild River Wilderness,108059,97253100,24031.7272755,9725.31,5.906428,8.295077,2.388649,6.555643,1.062616,97255552.687529
% Clay in Soil,States,Connecticut,14221256,12799130400,3162729.1174920,1279913.04,0.107757,37.44873,37.340974,6.225289,3.157999,12894953453.341300
% Clay in Soil,States,Delaware,5686392,5117752800,1264622.3056440,511775.28,0,42.487377,42.487377,12.226093,6.099673,5309390666.975370
% Clay in Soil,States,District of Columbia,170543,153488700,37927.8252135,15348.87,2.874317,47.092106,44.217789,19.228171,9.033919,155936388.359822
% Clay in Soil,States,Illinois,161166062,145049455800,35842445.7754590,14504945.58,0,67.190788,67.190788,27.154919,7.157933,146024416220.665000
% Clay in Soil,States,Indiana,103980824,93582741600,23124763.3630680,9358274.16,0,74.526314,74.526314,23.412142,10.250854,93755290899.666200
% Clay in Soil,States,Iowa,161468755,145321879500,35909763.0338475,14532187.95,0,63.564308,63.564308,27.134859,7.009953,145846157080.375000
% Clay in Soil,States,Kentucky,114813118,103331806200,25533805.9710510,10333180.62,2.894089,62.825806,59.931717,30.227492,10.595742,104525137684.948000
% Clay in Soil,States,Maine,90491837,81442653300,20124886.8436965,8144265.33,0,46.148148,46.148148,11.765864,8.661894,84135338938.930200
% Clay in Soil,States,Maryland,27752970,24977673000,6172107.8866650,2497767.30,0,59.881599,59.881599,17.523003,7.197873,25396939412.877900
% Clay in Soil,States,Massachusetts,23111247,20800122300,5139814.2209415,2080012.23,0,42.444332,42.444332,5.019084,3.966065,21075180892.310700
% Clay in Soil,States,Michigan,165688120,149119308000,36848126.6033400,14911930.80,0,67.662086,67.662086,12.493594,10.93747,150627432348.998000
% Clay in Soil,States,Minnesota,235565431,212008887900,52388456.2445295,21200888.79,0,73.370872,73.370872,18.84619,11.937597,218546319047.010000
% Clay in Soil,States,New Hampshire,26213134,23591820600,5829656.8293630,2359182.06,0,48,48,5.260247,3.489489,23983031539.622600
% Clay in Soil,States,New Jersey,21517576,19365818400,4785390.5557320,1936581.84,0,46.25,46.25,12.206326,8.126401,19794577064.869600
% Clay in Soil,States,New York,136830213,123147191700,30430286.8050285,12314719.17,0,75,75,14.742807,10.224593,125772761461.610000
% Clay in Soil,States,Ohio,118565912,106709320800,26368406.7162840,10670932.08,0.704703,70.714287,70.009584,29.13585,9.389776,106991293988.009000
% Clay in Soil,States,Pennsylvania,129896221,116906598900,28888205.1211845,11690659.89,0,58.907444,58.907444,20.933145,6.830391,117298177736.458000
% Clay in Soil,States,Rhode Island,3141036,2826932400,698549.1307020,282693.24,0.005,8.824515,8.819515,4.0345,1.945055,2838250544.449430
% Clay in Soil,States,Vermont,26912254,24221028600,5985137.2722030,2422102.86,0.5,73.401756,72.901756,9.786631,13.938447,24949625876.598800
% Clay in Soil,States,Virginia,114351413,102916271700,25431125.3184285,10291627.17,0,68.789063,68.789063,26.897217,11.665576,103515652655.207000
% Clay in Soil,States,West Virginia,69465153,62518637700,15448667.9688585,6251863.77,0,62.540985,62.540985,24.651897,8.588623,62689825398.324900
% Clay in Soil,States,Wisconsin,158961974,143065776600,35352268.7267430,14306577.66,0,69.605263,69.605263,14.047319,11.518294,145164873246.276000
% Coarse Sand,Class I Areas,Acadia NP,174067,156660300,38711.5434315,15666.03,26.266447,100,73.733553,72.150999,12.092349,156976202.212794
% Coarse Sand,Class I Areas,Boundary Waters Canoe Area Wilderness,4562494,4106244600,1014673.5718830,410624.46,59.641323,99.83448,40.193157,63.237001,3.181596,4415689551.038190
% Coarse Sand,Class I Areas,Brigantine Wilderness,9576,8618400,2129.6497320,861.84,84.055161,99.649178,15.594017,98.369517,3.430347,9785546.479338
% Coarse Sand,Class I Areas,Dolly Sods Wilderness,48235,43411500,10727.1987075,4341.15,48.076923,95,46.923077,65.788737,12.422254,43407012.422794
% Coarse Sand,Class I Areas,Great Gulf Wilderness,27040,24336000,6013.5472800,2433.60,68.882805,76.651253,7.768448,75.427665,2.829878,24333487.464179
% Coarse Sand,Class I Areas,Isle Royale NP,639840,575856000,142296.8968800,57585.60,0,99.891624,99.891624,83.213585,12.894209,2224596026.698460
% Coarse Sand,Class I Areas,James River Face Wilderness,40066,36059400,8910.4580370,3605.94,41.136364,99.730568,58.594204,59.460072,16.266836,36061953.654039
% Coarse Sand,Class I Areas,Lye Brook Wilderness,71351,64215900,15868.0699695,6421.59,44.212715,97.299866,53.087151,78.502836,4.498812,64221170.710860
% Coarse Sand,Class I Areas,Mammoth Cave NP,230884,207795600,51347.3317380,20779.56,59.246304,100,40.753696,83.554138,7.679777,207797270.790150
% Coarse Sand,Class I Areas,Moosehorn Wilderness BAR,21584,19425600,4800.1628880,1942.56,52.632263,98.823532,46.191269,81.795229,10.743047,19427383.657833
% Coarse Sand,Class I Areas,Moosehorn Wilderness EDM,12177,10959300,2708.0978265,1095.93,52.632263,100,47.367737,90.02331,6.730521,10966667.379660
% Coarse Sand,Class I Areas,Otter Creek Wilderness,89884,80895600,19989.7072380,8089.56,51.315693,92.611305,41.295612,65.484442,13.320887,80879488.939516
% Coarse Sand,Class I Areas,Presidential Range-Dry River Wilderness,125840,113256000,27986.1238800,11325.60,63.491417,99.676361,36.184944,72.534076,4.983519,113247489.248687
% Coarse Sand,Class I Areas,Rainbow Lake Wilderness,31684,28515600,7046.3473380,2851.56,74.213966,97.055054,22.841087,85.44294,4.40561,28527702.443629
% Coarse Sand,Class I Areas,Seney Wilderness,121260,109134000,26967.5570700,10913.40,82.82486,100,17.17514,98.031774,1.994197,109129287.035413
% Coarse Sand,Class I Areas,Shenandoah NP,869029,782126100,193267.2699405,78212.61,2.5,99.657898,97.157898,61.158194,15.547472,782161341.766315
% Coarse Sand,Class I Areas,Voyageurs NP,630197,567177300,140152.3467165,56717.73,63.772732,100,36.227268,87.492391,8.835025,829261617.157305
% Coarse Sand,Ecoregions Combined,All Ecoregions,827734354,744960918600,184083567.7906530,74496091.86,0,100,100,82.954829,13.986555,760057317559.180000
% Coarse Sand,Ecoregions Level 2,Atlantic Highlands,164903051,148412745900,36673531.5756195,14841274.59,0,100,100,76.089861,12.457098,150924840138.306000
% Coarse Sand,Ecoregions Level 2,Mixed Wood Plains,431599370,388439433000,95985326.0914650,38843943.30,0,100,100,82.703561,14.741969,394420123294.760000
% Coarse Sand,Ecoregions Level 2,Mixed Wood Shield,231231933,208108739700,51424710.1235685,20810873.97,0,100,100,88.319578,11.020523,214712354126.112000
% Coarse Sand,Ecoregions Level 3,Acadian Plains and Hills,48711686,43840517400,10833211.0521270,4384051.74,24.516006,100,75.483994,79.227242,13.520724,45250035288.537900
% Coarse Sand,Ecoregions Level 3,Driftless Area,52084536,46876082400,11583314.3414520,4687608.24,0,100,100,89.343918,15.145815,47386276779.215200
