ANALYSIS,Region,Region_Name,CL_Category,COUNT,AREA_M2,MIN,MAX,RANGE,MEAN,STD,SUM,AREA_HA,AREA_ACRES
high_IV_WOI,Class I Areas,Isle Royale NP,B (Max Min),566547,509892300,5,11,6,10.545415,1.242054,5974473.001,50989.23,125996.9368
high_IV_WOI,Class I Areas,James River Face Wilderness,B (Max Min),33444,30099600,11,18.5,7.5,18.134658,1.146067,606495.5,3009.96,7437.761658
high_IV_WOI,Class I Areas,Lye Brook Wilderness,B (Max Min),70912,63820800,11,18.5,7.5,11.644468,2.100313,825732.5,6382.08,15770.43878
high_IV_WOI,Class I Areas,Mammoth Cave NP,B (Max Min),213977,192579300,6.75,18.5,11.75,16.37714,4.520738,3504331.25,19257.93,47587.30793
high_IV_WOI,Class I Areas,Moosehorn Wilderness BAR,B (Max Min),11168,10051200,15,18.5,3.5,18.473361,0.30418,206310.5,1005.12,2483.701776
high_IV_WOI,Class I Areas,Moosehorn Wilderness EDM,B (Max Min),9694,8724600,9,17.25,8.25,17.194682,0.472789,166685.25,872.46,2155.892283
high_IV_WOI,Class I Areas,Otter Creek Wilderness,B (Max Min),89187,80268300,11,18.5,7.5,13.237277,3.388581,1180593,8026.83,19834.69827
high_IV_WOI,Class I Areas,Presidential Range-Dry River Wilderness,B (Max Min),122652,110386800,9,18.5,9.5,11.944016,1.987582,1464957.5,11038.68,27277.13021
high_IV_WOI,Class I Areas,Rainbow Lake Wilderness,B (Max Min),30285,27256500,15,18.5,3.5,18.495493,0.125518,560136,2725.65,6735.217433
high_IV_WOI,Class I Areas,Seney Wilderness,B (Max Min),74128,66715200,9,11,2,10.341086,0.940032,766564,6671.52,16485.6595
high_IV_WOI,Class I Areas,Shenandoah NP,B (Max Min),795029,715526100,11,18.5,7.5,16.786294,3.033427,13345590.25,71552.61,176810.0769
high_IV_WOI,Class I Areas,Voyageurs NP,B (Max Min),538232,484408800,9,15.3,6.3,15.198101,0.352227,8180104.33,48440.88,119699.8365
high_IV_WOI,Class I Areas,Acadia NP,C (Max Max),139533,125579700,10,26,16,23.843562,4.123959,3326963.75,12557.97,31031.37177
high_IV_WOI,Class I Areas,Boundary Waters Canoe Area Wilderness,C (Max Max),3622459,3260213100,7,21.1,14.1,21.056181,0.445988,76275151.36,326021.31,805614.9581
high_IV_WOI,Class I Areas,Brigantine Wilderness,C (Max Max),4,3600,26,26,0,26,0,104,0.36,0.889578
high_IV_WOI,Class I Areas,Dolly Sods Wilderness,C (Max Max),45918,41326200,17.25,26,8.75,19.867056,2.904234,912255.5,4132.62,10211.91065
high_IV_WOI,Class I Areas,Great Gulf Wilderness,C (Max Max),19050,17145000,18.5,21.1,2.6,18.546404,0.344235,353309.0001,1714.5,4236.615225
high_IV_WOI,Class I Areas,Isle Royale NP,C (Max Max),566547,509892300,7,18.5,11.5,17.797943,1.825628,10083371.05,50989.23,125996.9368
high_IV_WOI,Class I Areas,James River Face Wilderness,C (Max Max),33444,30099600,17.25,26,8.75,25.356716,2.190881,848030,3009.96,7437.761658
high_IV_WOI,Class I Areas,Lye Brook Wilderness,C (Max Max),70912,63820800,18.5,26,7.5,19.142945,2.099692,1357464.5,6382.08,15770.43878
high_IV_WOI,Class I Areas,Mammoth Cave NP,C (Max Max),213977,192579300,10.5,26,15.5,23.199631,5.963527,4964187.5,19257.93,47587.30793
high_IV_WOI,Class I Areas,Moosehorn Wilderness BAR,C (Max Max),11168,10051200,21,26,5,25.961945,0.434543,289943,1005.12,2483.701776
high_IV_WOI,Class I Areas,Moosehorn Wilderness EDM,C (Max Max),9694,8724600,15,26,11,25.892201,0.814579,250999,872.46,2155.892283
high_IV_WOI,Class I Areas,Otter Creek Wilderness,C (Max Max),89187,80268300,17.25,26,8.75,20.403893,3.606152,1819762,8026.83,19834.69827
high_IV_WOI,Class I Areas,Presidential Range-Dry River Wilderness,C (Max Max),122652,110386800,15,26,11,19.144488,1.871967,2348109.703,11038.68,27277.13021
high_IV_WOI,Class I Areas,Rainbow Lake Wilderness,C (Max Max),30285,27256500,21,26,5,25.993561,0.179312,787215,2725.65,6735.217433
high_IV_WOI,Class I Areas,Seney Wilderness,C (Max Max),74128,66715200,15,18.5,3.5,17.3469,1.645056,1285891,6671.52,16485.6595
high_IV_WOI,Class I Areas,Shenandoah NP,C (Max Max),795029,715526100,17.25,26,8.75,24.106812,3.431574,19165615,71552.61,176810.0769
high_IV_WOI,Class I Areas,Voyageurs NP,C (Max Max),538232,484408800,15,21.1,6.1,21.090444,0.162418,11351552.1,48440.88,119699.8365
high_IV_WOI,Class I Areas,Acadia NP,D (Min Max),139533,125579700,5.75,13.25,7.5,6.500933,1.850751,907094.75,12557.97,31031.37177
high_IV_WOI,Class I Areas,Boundary Waters Canoe Area Wilderness,D (Min Max),3622459,3260213100,5.75,12.5,6.75,7.064277,0.503248,25590053.75,326021.31,805614.9581
high_IV_WOI,Class I Areas,Brigantine Wilderness,D (Min Max),4,3600,18,18,0,18,0,72,0.36,0.889578
high_IV_WOI,Class I Areas,Dolly Sods Wilderness,D (Min Max),45918,41326200,5.75,12.5,6.75,7.152413,1.163975,328424.5,4132.62,10211.91065
high_IV_WOI,Class I Areas,Great Gulf Wilderness,D (Min Max),19050,17145000,5.75,7,1.25,5.980052,0.484398,113920,1714.5,4236.615225
high_IV_WOI,Class I Areas,Isle Royale NP,D (Min Max),566547,509892300,5.75,17.25,11.5,6.885701,1.908224,3901073.25,50989.23,125996.9368
high_IV_WOI,Class I Areas,James River Face Wilderness,D (Min Max),33444,30099600,6.5,10.5,4,7.257886,0.95001,242732.75,3009.96,7437.761658
high_IV_WOI,Class I Areas,Lye Brook Wilderness,D (Min Max),70912,63820800,5.75,12.5,6.75,6.938727,0.293464,492039,6382.08,15770.43878
high_IV_WOI,Class I Areas,Mammoth Cave NP,D (Min Max),213977,192579300,7,12.5,5.5,8.463622,1.36158,1811020.5,19257.93,47587.30793
high_IV_WOI,Class I Areas,Moosehorn Wilderness BAR,D (Min Max),11168,10051200,5.75,7,1.25,5.763207,0.127808,64363.5,1005.12,2483.701776
high_IV_WOI,Class I Areas,Moosehorn Wilderness EDM,D (Min Max),9694,8724600,5.75,7,1.25,5.750129,0.012695,55741.75,872.46,2155.892283
high_IV_WOI,Class I Areas,Otter Creek Wilderness,D (Min Max),89187,80268300,6.5,12.5,6,7.547692,1.186934,673156,8026.83,19834.69827
high_IV_WOI,Class I Areas,Presidential Range-Dry River Wilderness,D (Min Max),122652,110386800,5.75,7,1.25,6.174453,0.591214,757309,11038.68,27277.13021
high_IV_WOI,Class I Areas,Rainbow Lake Wilderness,D (Min Max),30285,27256500,5.75,9,3.25,6.869028,0.617484,208028.5,2725.65,6735.217433
high_IV_WOI,Class I Areas,Seney Wilderness,D (Min Max),74128,66715200,6.5,8.5,2,7.61386,0.637033,564400.25,6671.52,16485.6595
high_IV_WOI,Class I Areas,Shenandoah NP,D (Min Max),795029,715526100,6.5,18,11.5,7.547086,1.32903,6000152.25,71552.61,176810.0769
high_IV_WOI,Class I Areas,Voyageurs NP,D (Min Max),538232,484408800,6.5,15,8.5,7.231689,0.696173,3892326.25,48440.88,119699.8365
high_IV_WOI,Ecoregions Combined,All Ecoregions,A (Min Min),510818363,459736526700,3,18.5,15.5,3.710858,1.814919,1895574416,45973652.67,113603194.4
high_IV_WOI,Ecoregions Combined,All Ecoregions,B (Max Min),510818363,459736526700,3,18.5,15.5,16.500136,2.749673,8428572634,45973652.67,113603194.4
high_IV_WOI,Ecoregions Combined,All Ecoregions,C (Max Max),510818363,459736526700,5.75,26,20.25,23.708606,3.199619,12110791285,45973652.67,113603194.4
high_IV_WOI,Ecoregions Combined,All Ecoregions,D (Min Max),510818363,459736526700,5.75,26,20.25,7.529929,2.180787,3846425932,45973652.67,113603194.4
high_IV_WOI,Ecoregions Level 2,Atlantic Highlands,A (Min Min),143225622,128903059800,3,12.5,9.5,3.279079,0.866349,469648176.8,12890305.98,31852590.59
high_IV_WOI,Ecoregions Level 2,Mixed Wood Plains,A (Min Min),187888865,169099978500,3,18.5,15.5,4.318826,2.613903,811459388.6,16909997.85,41785450.19
high_IV_WOI,Ecoregions Level 2,Mixed Wood Shield,A (Min Min),179703876,161733488400,3,17.25,14.25,3.41933,1.00063,614466851,16173348.84,39965153.65
high_IV_WOI,Ecoregions Level 2,ATLANTIC HIGHLANDS,B (Max Min),143225622,128903059800,3,18.5,15.5,16.640991,2.538097,2383416273,12890305.98,31852590.59
high_IV_WOI,Ecoregions Level 2,MIXED WOOD PLAINS,B (Max Min),187888865,169099978500,3,18.5,15.5,17.879333,1.774198,3359327673,16909997.85,41785450.19
high_IV_WOI,Ecoregions Level 2,MIXED WOOD SHIELD,B (Max Min),179703876,161733488400,3,18.5,15.5,14.945858,2.940386,2685828687,16173348.84,39965153.65
high_IV_WOI,Ecoregions Level 2,ATLANTIC HIGHLANDS,C (Max Max),143225622,128903059800,6.5,26,19.5,23.88811,2.947671,3421389350,12890305.98,31852590.59
high_IV_WOI,Ecoregions Level 2,MIXED WOOD PLAINS,C (Max Max),187888865,169099978500,5.75,26,20.25,25.323612,2.239994,4758024746,16909997.85,41785450.19
high_IV_WOI,Ecoregions Level 2,MIXED WOOD SHIELD,C (Max Max),179703876,161733488400,5.75,26,20.25,21.876975,3.289698,3931377189,16173348.84,39965153.65
high_IV_WOI,Ecoregions Level 2,ATLANTIC HIGHLANDS,D (Min Max),143225622,128903059800,5.75,18,12.25,6.864949,1.00575,983236543,12890305.98,31852590.59
high_IV_WOI,Ecoregions Level 2,MIXED WOOD PLAINS,D (Min Max),187888865,169099978500,5.75,26,20.25,8.363768,3.183471,1571458864,16909997.85,41785450.19
high_IV_WOI,Ecoregions Level 2,MIXED WOOD SHIELD,D (Min Max),179703876,161733488400,5.75,26,20.25,7.188106,0.959268,1291730525,16173348.84,39965153.65
high_IV_WOI,Ecoregions Level 3,Acadian Plains and Hills,A (Min Min),37305560,33575004000,3,13.25,10.25,3.135764,0.565119,116981426,3357500.4,8296551.363
high_IV_WOI,Ecoregions Level 3,Driftless Area,A (Min Min),16511497,14860347300,3,12.5,9.5,6.64841,2.696253,109775199,1486034.73,3672066.12
high_IV_WOI,Ecoregions Level 3,Eastern Great Lakes Lowlands,A (Min Min),17524170,15771753000,3,18.5,15.5,4.466061,3.006394,78264009.25,1577175.3,3897279.025
high_IV_WOI,Ecoregions Level 3,Erie Drift Plain,A (Min Min),14027349,12624614100,3,12.5,9.5,4.376268,2.795968,61387432.25,1262461.41,3119605.267
high_IV_WOI,Ecoregions Level 3,North Central Appalachians,A (Min Min),25914774,23323296600,3,12.5,9.5,3.205044,0.890532,83057988,2332329.66,5763303.206
high_IV_WOI,Ecoregions Level 3,North Central Hardwood Forests,A (Min Min),32823906,29541515400,3,17.25,14.25,4.260564,2.282836,139848344.8,2954151.54,7299856.163
high_IV_WOI,Ecoregions Level 3,Northeastern Coastal Zone,A (Min Min),23890407,21501366300,3,14.5,11.5,3.938806,2.095557,94099679.8,2150136.63,5313095.12
high_IV_WOI,Ecoregions Level 3,Northern Allegheny Plateau,A (Min Min),30982814,27884532600,3,12.5,9.5,3.227875,1.00767,100008644,2788453.26,6890407.428
high_IV_WOI,Ecoregions Level 3,Northern Appalachian and Atlantic Maritime Highlands,A (Min Min),117310848,105579763200,3,12.5,9.5,3.295434,0.860056,386590188.8,10557976.32,26089287.39
high_IV_WOI,Ecoregions Level 3,Northern Lakes and Forests,A (Min Min),161638497,145474647300,3,17.25,14.25,3.358237,0.928382,542820343.3,14547464.73,35947512.72
high_IV_WOI,Ecoregions Level 3,Northern Minnesota Wetlands,A (Min Min),18065379,16258841100,3,11,8,3.965957,1.384213,71646507.65,1625884.11,4017640.93
high_IV_WOI,Ecoregions Level 3,Southern Michigan/Northern Indiana Drift Plains,A (Min Min),14823162,13340845800,3,18.5,15.5,7.494666,4.058289,111094653.5,1334084.58,3296589.701
high_IV_WOI,Ecoregions Level 3,Acadian Plains and Hills,B (Max Min),37305560,33575004000,3,18.5,15.5,17.79303,1.991642,663778931.8,3357500.4,8296551.363
high_IV_WOI,Ecoregions Level 3,Driftless Area,B (Max Min),16511497,14860347300,5,18.5,13.5,17.745834,0.730889,293010291.1,1486034.73,3672066.12
high_IV_WOI,Ecoregions Level 3,Eastern Great Lakes Lowlands,B (Max Min),17524170,15771753000,3,18.5,15.5,18.181613,1.369786,318617670.3,1577175.3,3897279.025
high_IV_WOI,Ecoregions Level 3,Erie Drift Plain,B (Max Min),14027349,12624614100,5,18.5,13.5,18.499796,0.041738,259503101.5,1262461.41,3119605.267
high_IV_WOI,Ecoregions Level 3,North Central Appalachians,B (Max Min),25914774,23323296600,5,18.5,13.5,18.337822,0.718067,475220511.4,2332329.66,5763303.206
high_IV_WOI,Ecoregions Level 3,North Central Hardwood Forests,B (Max Min),32823906,29541515400,3,18.5,15.5,16.541527,2.887457,542957531.2,2954151.54,7299856.163
high_IV_WOI,Ecoregions Level 3,Northeastern Coastal Zone,B (Max Min),23890407,21501366300,3,18.5,15.5,18.490317,0.370368,441741193.7,2150136.63,5313095.12
high_IV_WOI,Ecoregions Level 3,Northern Allegheny Plateau,B (Max Min),30982814,27884532600,5,18.5,13.5,18.312474,0.918874,567371990.4,2788453.26,6890407.428
high_IV_WOI,Ecoregions Level 3,Northern Appalachian and Atlantic Maritime Highlands,B (Max Min),117310848,105579763200,3,18.5,15.5,16.266149,2.640937,1908195762,10557976.32,26089287.39
high_IV_WOI,Ecoregions Level 3,Northern Lakes and Forests,B (Max Min),161638497,145474647300,3,18.5,15.5,15.170081,2.916921,2452069071,14547464.73,35947512.72
high_IV_WOI,Ecoregions Level 3,Northern Minnesota Wetlands,B (Max Min),18065379,16258841100,3,15.3,12.3,12.939646,2.323981,233759616.6,1625884.11,4017640.93
high_IV_WOI,Ecoregions Level 3,Southern Michigan/Northern Indiana Drift Plains,B (Max Min),14823162,13340845800,3,18.5,15.5,18.373068,0.97052,272346963.3,1334084.58,3296589.701
high_IV_WOI,Ecoregions Level 3,Acadian Plains and Hills,C (Max Max),37305560,33575004000,7,26,19,25.341636,2.239334,945383927.6,3357500.4,8296551.363
high_IV_WOI,Ecoregions Level 3,Driftless Area,C (Max Max),16511497,14860347300,7,26,19,25.924729,0.778264,428056078.5,1486034.73,3672066.12
high_IV_WOI,Ecoregions Level 3,Eastern Great Lakes Lowlands,C (Max Max),17524170,15771753000,5.75,26,20.25,25.52853,1.950487,447366295.2,1577175.3,3897279.025
high_IV_WOI,Ecoregions Level 3,Erie Drift Plain,C (Max Max),14027349,12624614100,7,26,19,25.999697,0.061734,364706823.5,1262461.41,3119605.267
high_IV_WOI,Ecoregions Level 3,North Central Appalachians,C (Max Max),25914774,23323296600,7,26,19,25.873702,0.96664,670511136.6,2332329.66,5763303.206
high_IV_WOI,Ecoregions Level 3,North Central Hardwood Forests,C (Max Max),32823906,29541515400,7,26,19,23.454644,3.704382,769873018.3,2954151.54,7299856.163
high_IV_WOI,Ecoregions Level 3,Northeastern Coastal Zone,C (Max Max),23890407,21501366300,6.5,26,19.5,25.989626,0.39277,620902752,2150136.63,5313095.12
high_IV_WOI,Ecoregions Level 3,Northern Allegheny Plateau,C (Max Max),30982814,27884532600,7,26,19,25.784604,1.254392,798879574.8,2788453.26,6890407.428
high_IV_WOI,Ecoregions Level 3,Northern Appalachian and Atlantic Maritime Highlands,C (Max Max),117310848,105579763200,6.5,26,19.5,23.449479,3.055883,2750878214,10557976.32,26089287.39
high_IV_WOI,Ecoregions Level 3,Northern Lakes and Forests,C (Max Max),161638497,145474647300,6.5,26,19.5,22.127613,3.263153,3576674116,14547464.73,35947512.72
high_IV_WOI,Ecoregions Level 3,Northern Minnesota Wetlands,C (Max Max),18065379,16258841100,5.75,21.1,15.35,19.634411,2.605244,354703072.5,1625884.11,4017640.93
high_IV_WOI,Ecoregions Level 3,Southern Michigan/Northern Indiana Drift Plains,C (Max Max),14823162,13340845800,5.75,26,20.25,25.828246,1.35837,382856275.9,1334084.58,3296589.701
high_IV_WOI,Ecoregions Level 3,Acadian Plains and Hills,D (Min Max),37305560,33575004000,5.75,21.1,15.35,6.644442,1.00108,247874639.6,3357500.4,8296551.363
high_IV_WOI,Ecoregions Level 3,Driftless Area,D (Min Max),16511497,14860347300,5.75,18,12.25,11.162575,3.675098,184310830.4,1486034.73,3672066.12
high_IV_WOI,Ecoregions Level 3,Eastern Great Lakes Lowlands,D (Min Max),17524170,15771753000,5.75,26,20.25,8.349623,3.552124,146320206.3,1577175.3,3897279.025
high_IV_WOI,Ecoregions Level 3,Erie Drift Plain,D (Min Max),14027349,12624614100,6.5,18,11.5,8.547311,3.171859,119896113,1262461.41,3119605.267
high_IV_WOI,Ecoregions Level 3,North Central Appalachians,D (Min Max),25914774,23323296600,6.5,18,11.5,7.167773,0.941988,185751216.5,2332329.66,5763303.206
high_IV_WOI,Ecoregions Level 3,North Central Hardwood Forests,D (Min Max),32823906,29541515400,5.75,26,20.25,8.506592,2.783364,279219566.2,2954151.54,7299856.163
high_IV_WOI,Ecoregions Level 3,Northeastern Coastal Zone,D (Min Max),23890407,21501366300,5.75,18,12.25,7.955654,2.660597,190063817,2150136.63,5313095.12
high_IV_WOI,Ecoregions Level 3,Northern Allegheny Plateau,D (Min Max),30982814,27884532600,5.75,18,12.25,7.256894,1.166423,224838990,2788453.26,6890407.428
high_IV_WOI,Ecoregions Level 3,Northern Appalachian and Atlantic Maritime Highlands,D (Min Max),117310848,105579763200,5.75,18,12.25,6.798053,1.007092,797485326.5,10557976.32,26089287.39
high_IV_WOI,Ecoregions Level 3,Northern Lakes and Forests,D (Min Max),161638497,145474647300,5.75,26,20.25,7.187882,0.897877,1161838422,14547464.73,35947512.72
high_IV_WOI,Ecoregions Level 3,Northern Minnesota Wetlands,D (Min Max),18065379,16258841100,5.75,17.25,11.5,7.190112,1.392948,129892103,1625884.11,4017640.93
high_IV_WOI,Ecoregions Level 3,Southern Michigan/Northern Indiana Drift Plains,D (Min Max),14823162,13340845800,5.75,26,20.25,12.071291,4.714787,178934701.8,1334084.58,3296589.701
high_IV_WOI,Forest Service Admin Areas,Allegheny National Forest,A (Min Min),3131455,2818309500,3,7,4,3.037874,0.385164,9512966.75,281830.95,696418.369
high_IV_WOI,Forest Service Admin Areas,Chequamegon-Nicolet National Forest,A (Min Min),7881826,7093643400,3,7,4,3.171366,0.630711,24996157.16,709364.34,1752874.752
high_IV_WOI,Forest Service Admin Areas,Chippewa National Forest,A (Min Min),5204901,4684410900,3,7,4,3.505293,1.006495,18244704.92,468441.09,1157541.355
high_IV_WOI,Forest Service Admin Areas,Daniel Boone National Forest,A (Min Min),7456917,6711225300,3,8.5,5.5,3.042295,0.409135,22686141.75,671122.53,1658377.328
high_IV_WOI,Forest Service Admin Areas,George Washington and Jefferson National Forest,A (Min Min),12272660,11045394000,3,12.5,9.5,3.701593,1.487555,45428396,1104539.4,2729372.084
high_IV_WOI,Forest Service Admin Areas,Green Mountain and Finger Lakes National Forests,A (Min Min),3451563,3106406700,3,12.5,9.5,3.097583,0.523844,10691502.25,310640.67,767608.6276
high_IV_WOI,Forest Service Admin Areas,Hiawatha National Forest,A (Min Min),4971268,4474141200,3,17.25,14.25,3.363911,0.882667,16722903.18,447414.12,1105582.661
high_IV_WOI,Forest Service Admin Areas,Hoosier National Forest,A (Min Min),2124016,1911614400,3,14.5,11.5,4.076691,1.740105,8658957.25,191161.44,472369.4763
high_IV_WOI,Forest Service Admin Areas,Huron-Manistee National Forest,A (Min Min),6356028,5720425200,3,17.25,14.25,3.491174,1.281186,22189996.85,572042.52,1413545.669
high_IV_WOI,Forest Service Admin Areas,Land Between the Lakes National Recreation Area,A (Min Min),424628,382165200,3,14.5,11.5,3.127505,0.705566,1328026,38216.52,94434.93175
high_IV_WOI,Forest Service Admin Areas,Midewin National Tallgrass Prairie,A (Min Min),28426,25583400,5,12.5,7.5,7.029234,2.087479,199813,2558.34,6321.786057
high_IV_WOI,Forest Service Admin Areas,Monongahela National Forest,A (Min Min),6847312,6162580800,3,12.5,9.5,3.208926,0.887633,21972514.5,616258.08,1522804.529
high_IV_WOI,Forest Service Admin Areas,Ottawa National Forest,A (Min Min),6371349,5734214100,3,17.25,14.25,3.212191,0.679147,20465992.6,573421.41,1416952.975
high_IV_WOI,Forest Service Admin Areas,Shawnee National Forest,A (Min Min),2152014,1936812600,3,14.5,11.5,3.904348,1.656099,8402212.5,193681.26,478596.0775
high_IV_WOI,Forest Service Admin Areas,Superior National Forest,A (Min Min),14802092,13321882800,3,7,4,3.465086,0.928148,51290519.3,1332188.28,3291903.849
high_IV_WOI,Forest Service Admin Areas,Wayne National Forest,A (Min Min),3001786,2701607400,3,12.5,9.5,4.067309,2.075611,12209191.25,270160.74,667580.6966
high_IV_WOI,Forest Service Admin Areas,White Mountain National Forest,A (Min Min),4049767,3644790300,3,7,4,3.02637,0.249528,12256091.75,364479.03,900645.9071
high_IV_WOI,Forest Service Admin Areas,Allegheny National Forest,B (Max Min),3131455,2818309500,5,18.5,13.5,18.309814,0.558449,57336357.75,281830.95,696418.369
high_IV_WOI,Forest Service Admin Areas,Chequamegon-Nicolet National Forest,B (Max Min),7881826,7093643400,5,18.5,13.5,17.280005,1.569511,136197992.3,709364.34,1752874.752
high_IV_WOI,Forest Service Admin Areas,Chippewa National Forest,B (Max Min),5204901,4684410900,5.4,15.3,9.9,14.265796,2.045788,74252055.31,468441.09,1157541.355
high_IV_WOI,Forest Service Admin Areas,Daniel Boone National Forest,B (Max Min),7456917,6711225300,3,18.5,15.5,18.419328,0.942738,137351398.5,671122.53,1658377.328
high_IV_WOI,Forest Service Admin Areas,George Washington and Jefferson National Forest,B (Max Min),12272660,11045394000,3,18.5,15.5,17.811184,1.748697,218590609,1104539.4,2729372.084
high_IV_WOI,Forest Service Admin Areas,Green Mountain and Finger Lakes National Forests,B (Max Min),3451563,3106406700,9,18.5,9.5,13.655321,3.272314,47132201.1,310640.67,767608.6276
high_IV_WOI,Forest Service Admin Areas,Hiawatha National Forest,B (Max Min),4971268,4474141200,5,18.5,13.5,12.879787,3.151523,64028873.7,447414.12,1105582.661
high_IV_WOI,Forest Service Admin Areas,Hoosier National Forest,B (Max Min),2124016,1911614400,3,18.5,15.5,18.497591,0.173934,39289179.25,191161.44,472369.4763
high_IV_WOI,Forest Service Admin Areas,Huron-Manistee National Forest,B (Max Min),6356028,5720425200,5,18.5,13.5,16.283051,3.414963,103495529.7,572042.52,1413545.669
high_IV_WOI,Forest Service Admin Areas,Land Between the Lakes National Recreation Area,B (Max Min),424628,382165200,3,18.5,15.5,18.484922,0.441691,7849215.5,38216.52,94434.93175
high_IV_WOI,Forest Service Admin Areas,Midewin National Tallgrass Prairie,B (Max Min),28426,25583400,14.5,17.25,2.75,17.013562,0.77091,483627.5,2558.34,6321.786057
high_IV_WOI,Forest Service Admin Areas,Monongahela National Forest,B (Max Min),6847312,6162580800,11,18.5,7.5,14.529071,3.415949,99485080.5,616258.08,1522804.529
high_IV_WOI,Forest Service Admin Areas,Ottawa National Forest,B (Max Min),6371349,5734214100,5,18.5,13.5,16.832576,1.469983,107246214.6,573421.41,1416952.975
high_IV_WOI,Forest Service Admin Areas,Shawnee National Forest,B (Max Min),2152014,1936812600,7,18.5,11.5,18.462806,0.3903,39732217,193681.26,478596.0775
high_IV_WOI,Forest Service Admin Areas,Superior National Forest,B (Max Min),14802092,13321882800,5,17.25,12.25,14.965636,1.064638,221522715.4,1332188.28,3291903.849
high_IV_WOI,Forest Service Admin Areas,Wayne National Forest,B (Max Min),3001786,2701607400,7,18.5,11.5,18.499799,0.04637,55532438,270160.74,667580.6966
high_IV_WOI,Forest Service Admin Areas,White Mountain National Forest,B (Max Min),4049767,3644790300,9,18.5,9.5,14.021878,3.180966,56785339.76,364479.03,900645.9071
high_IV_WOI,Forest Service Admin Areas,Allegheny National Forest,C (Max Max),3131455,2818309500,7,26,19,25.950676,0.608156,81263373,281830.95,696418.369
high_IV_WOI,Forest Service Admin Areas,Chequamegon-Nicolet National Forest,C (Max Max),7881826,7093643400,7,26,19,24.697097,2.269855,194658219.7,709364.34,1752874.752
high_IV_WOI,Forest Service Admin Areas,Chippewa National Forest,C (Max Max),5204901,4684410900,13.25,21.1,7.85,20.377324,1.658365,106061954.7,468441.09,1157541.355
